t_index	term	df
0	0	45
1	00	3
2	000	267
3	0050	1
4	0092	1
5	01	1
6	018	1
7	02	3
8	02111	1
9	0392	1
10	06	1
11	072	3
12	08	2
13	0832	1
14	1	224
15	10	198
16	100	92
17	1000	1
18	10016	1
19	10017	1
20	10018	1
21	1008	1
22	101	5
23	10115	1
24	10116	1
25	103	3
26	104	1
27	105	5
28	105d	1
29	106th	1
30	107th	2
31	108	3
32	10th	13
33	11	88
34	110	2
35	111	1
36	113	1
37	116	8
38	117	2
39	118	44
40	119	1
41	1199	1
42	11th	8
43	12	186
44	120	9
45	1200	2
46	1206	1
47	122	1
48	124	2
49	1244	1
50	125	8
51	12501	1
52	126	2
53	128	1
54	12th	16
55	13	123
56	130	3
57	131	7
58	132	3
59	133	2
60	134	1
61	135	2
62	137	2
63	138	2
64	139	1
65	13th	10
66	14	69
67	140	11
68	141	6
69	143	2
70	145	1
71	146th	1
72	148	3
73	14th	3
74	15	105
75	150	42
76	151	2
77	152	1
78	153	3
79	155	2
80	15th	6
81	16	78
82	160	4
83	1600	1
84	162	3
85	163	1
86	1640	1
87	165	1
88	168	1
89	16th	3
90	17	202
91	170	3
92	17061	1
93	17090	1
94	174	1
95	175	1
96	176	5
97	177	1
98	178	2
99	1792	1
100	17th	1
101	18	80
102	180	2
103	1800	1
104	181	1
105	1819	1
106	182	2
107	1839	1
108	185	2
109	1869	1
110	187	1
111	1876	1
112	188	1
113	1881	1
114	1888	3
115	18th	2
116	19	78
117	190	6
118	1904	1
119	1906	1
120	1907	3
121	1909	1
122	1914	1
123	192	1
124	1920	2
125	1927	1
126	1928	5
127	193	1
128	1930	1
129	19303	1
130	1931	2
131	1932	2
132	1933	1
133	1937	1
134	1941	1
135	1944	1
136	1945	5
137	1947	2
138	1948	1
139	1950	12
140	1953	1
141	1954	4
142	1956	1
143	1957	2
144	196	2
145	1960	16
146	1961	4
147	1962	3
148	1963	2
149	1964	1
150	1965	1
151	1966	2
152	1967	16
153	1968	9
154	1969	12
155	1970	17
156	1971	1
157	1972	7
158	1973	6
159	1974	5
160	1975	22
161	1976	6
162	1977	10
163	1978	2
164	1979	4
165	1980	45
166	1981	11
167	1982	4
168	1983	20
169	1984	6
170	1985	18
171	1986	15
172	1987	11
173	1988	11
174	1989	17
175	1990	61
176	1991	27
177	1992	45
